UF;Município;Cargo / Esfera Partidária;Limite de Gastos 1° Turno;Limite de Gastos 2° Turno;Quantidade Limite de Contratação;Eleitorado Apto
MT;GAÚCHA DO NORTE;Vereador;10803.91;0;24;4704
MT;GENERAL CARNEIRO;Prefeito;219215.54;0;41;4059
MT;GENERAL CARNEIRO;Vereador;20882.23;0;21;4059
MT;GLÓRIA D'OESTE;Prefeito;108039.06;0;26;2633
MT;GLÓRIA D'OESTE;Vereador;10803.91;0;13;2633
MT;GUARANTÃ DO NORTE;Prefeito;108039.06;0;211;21052
MT;GUARANTÃ DO NORTE;Vereador;10803.91;0;106;21052
MT;GUIRATINGA;Prefeito;353529.53;0;86;8587
MT;GUIRATINGA;Vereador;15755.59;0;43;8587
MT;INDIAVAÍ;Prefeito;108039.06;0;19;1883
MT;INDIAVAÍ;Vereador;10803.91;0;10;1883
MT;IPIRANGA DO NORTE;Prefeito;108039.06;0;40;4005
MT;IPIRANGA DO NORTE;Vereador;10803.91;0;20;4005
MT;ITANHANGÁ;Prefeito;108039.06;0;45;4515
MT;ITANHANGÁ;Vereador;10803.91;0;23;4515
MT;ITAÚBA;Prefeito;108039.06;0;43;4252
MT;ITAÚBA;Vereador;10803.91;0;22;4252
MT;ITIQUIRA;Prefeito;108039.06;0;87;8731
MT;ITIQUIRA;Vereador;10803.91;0;44;8731
MT;JACIARA;Prefeito;438837.31;0;182;18167
MT;JACIARA;Vereador;24285.14;0;91;18167
MT;JANGADA;Prefeito;108039.06;0;63;6281
MT;JANGADA;Vereador;10803.91;0;32;6281
MT;JAURU;Prefeito;171696.07;0;83;8257
MT;JAURU;Vereador;18850.34;0;42;8257
MT;JUARA;Prefeito;290104.34;0;233;23277
MT;JUARA;Vereador;21100.96;0;117;23277
MT;JURUENA;Prefeito;108039.06;0;62;6236
MT;JURUENA;Vereador;24370.67;0;31;6236
MT;JUSCIMEIRA;Prefeito;108039.06;0;90;9031
MT;JUSCIMEIRA;Vereador;10803.91;0;45;9031
MT;JUÍNA;Prefeito;313533.42;0;301;31290
MT;JUÍNA;Vereador;23567.95;0;151;31290
MT;LAMBARI D'OESTE;Prefeito;108039.06;0;49;4854
MT;LAMBARI D'OESTE;Vereador;10803.91;0;25;4854
MT;LUCAS DO RIO VERDE;Prefeito;2358516.65;0;308;38384
MT;LUCAS DO RIO VERDE;Vereador;88888.52;0;154;38384
MT;LUCIARA;Prefeito;108039.06;0;19;1919
MT;LUCIARA;Vereador;10803.91;0;10;1919
MT;MARCELÂNDIA;Prefeito;108039.06;0;93;9347
MT;MARCELÂNDIA;Vereador;10803.91;0;47;9347
MT;MATUPÁ;Prefeito;108039.06;0;110;10976
MT;MATUPÁ;Vereador;10803.91;0;55;10976
MT;MIRASSOL D'OESTE;Prefeito;390694.05;0;197;19682
MT;MIRASSOL D'OESTE;Vereador;45347.13;0;99;19682
MT;NOBRES;Prefeito;430714.66;0;108;10814
MT;NOBRES;Vereador;20845;0;54;10814
